Data Set size n,Iterative, , , ,Recursive,
 ,Average Critical Operations Count, Coefficient of Variance of Count, Average Execution Time, Coefficient of Variance of Time,Average Critical Operations Count, Coefficient of Variance of Count, Average Execution Time, Coefficient of Variance of Time,
1000,21716.38,9.28073364866679E-4,467150.06,0.0446650809562855,24681.1,7.054028806432329E-4,426008.98,0.22616719610718478
2000,47417.12,6.290086752744518E-4,787625.34,0.4063367457017901,53361.34,4.1886494997741256E-4,781825.66,0.12561119059054218
3000,75187.68,4.4383325243630334E-4,1511998.38,0.2901842149787133,83820.62,4.2061763417629907E-4,1443256.12,0.3206965611537117
4000,102825.72,3.356394670679655E-4,1679002.16,0.16351389618426607,114720.44,3.418929490680556E-4,1785736.7,0.27777484165659366
5000,134998.86,2.1988376365998465E-4,2021241.16,0.21521738958000167,147030.66,2.5967248075927735E-4,2275232.04,0.22456070416908241
6000,162360.24,2.1077269774963896E-4,2471203.72,0.19550563135073207,179637.98,2.4360498993865787E-4,2696173.8,0.2555367922524091
7000,192203.84,2.371853367979682E-4,3079470.74,0.39651829718251247,212473.56,2.00555365499257E-4,3185072.68,0.22779923503828037
8000,221637.08,2.0232814469836933E-4,3291180.34,0.17299496674537237,245445.58,1.8173395988185437E-4,3603650.7,0.18211287516335686
9000,262577.78,2.3942971953140992E-4,3761653.18,0.20726743158219546,279593.24,2.007369734985606E-4,4269491.3,0.6416445513737205
10000,289987.3,1.8488652569611914E-4,4472153.86,0.16177545090089382,314060.08,1.6628896717941753E-4,4522545.66,0.19127422505936054
11000,319462.76,1.9687936266562307E-4,4647335.98,0.1656748680278335,348643.52,2.0508390498724582E-4,5171689.6,0.26223539321514183
12000,348691.1,1.904702553321347E-4,5093054.64,0.18097245275304624,383284.16,1.640430805019738E-4,5787410.14,0.2781959553172507
13000,383265.42,1.6475566366846983E-4,5518837.16,0.1929781414519326,418084.34,1.8934232955952524E-4,6285386.0,0.3481484230972585
14000,412388.76,1.906557383400945E-4,6241375.14,0.20409651499196677,452947.2,1.3015143277693485E-4,6549284.46,0.212838278703303
15000,444299.68,1.6512820940659328E-4,6647176.02,0.16380888713706251,487905.06,1.4063916084102975E-4,8358552.04,0.3060865642539737
